index,day,titleName,titleID,authorName,authorID,rating,url
1,mon,2023 요즘연애 특),807831,네이버웹툰 작가,305532,9.56,https://comic.naver.com/webtoon/list?titleId=807831
2,mon,뷰티풀 군바리,648419,설이 / 윤성원,648419,9.81,https://comic.naver.com/webtoon/list?titleId=648419
3,mon,신의 탑,183559,SIU,155779,9.88,https://comic.naver.com/webtoon/list?titleId=183559
4,mon,퀘스트지상주의,783052,박태준 만화회사,351540,9.80,https://comic.naver.com/webtoon/list?titleId=783052
5,mon,장씨세가 호위무사,728750,김인호 / 조형근,728750,9.93,https://comic.naver.com/webtoon/list?titleId=728750
6,mon,똑 닮은 딸,774866,이담,349462,9.98,https://comic.naver.com/webtoon/list?titleId=774866
7,mon,백수세끼,733074,치즈,327731,9.84,https://comic.naver.com/webtoon/list?titleId=733074
8,mon,윈드브레이커,602910,조용석,266740,9.83,https://comic.naver.com/webtoon/list?titleId=602910
9,mon,소녀의 세계,654774,모랑지,289382,9.92,https://comic.naver.com/webtoon/list?titleId=654774
10,mon,신화급 귀속 아이템을 손에 넣었다,795297,정선율 / 헤스,795297,9.91,https://comic.naver.com/webtoon/list?titleId=795297
11,mon,버림받은 왕녀의 은밀한 침실,796867,혜니 / 성혜림,796867,9.95,https://comic.naver.com/webtoon/list?titleId=796867
12,mon,앵무살수,739115,김성진,330802,9.97,https://comic.naver.com/webtoon/list?titleId=739115
13,mon,별난식당,806189,HO9,315777,9.96,https://comic.naver.com/webtoon/list?titleId=806189
14,mon,절대검감,796075,김두루미 / 티아이 / 한중월야,796075,9.94,https://comic.naver.com/webtoon/list?titleId=796075
15,mon,퍼니게임,801035,배진수,240026,9.56,https://comic.naver.com/webtoon/list?titleId=801035
16,mon,엘프,808776,홍작가,328327,9.88,https://comic.naver.com/webtoon/list?titleId=808776
17,mon,만렙돌파,759940,"성불예정, 임형 / 미노",759940,9.51,https://comic.naver.com/webtoon/list?titleId=759940
18,mon,물어보는 사이,772725,성은,312538,9.96,https://comic.naver.com/webtoon/list?titleId=772725
19,mon,호랑신랑뎐,795643,고추참치,356095,9.98,https://comic.naver.com/webtoon/list?titleId=795643
20,mon,잔불의 기사,768536,환댕,344529,9.96,https://comic.naver.com/webtoon/list?titleId=768536
21,mon,어쌔신 크리드 - 잊혀진 사원,808760,"샤이아탄, ARC, Ubisoft / Tabii",808760,9.73,https://comic.naver.com/webtoon/list?titleId=808760
22,mon,리턴 투 플레이어,752414,엄키 / 세혼 / 인덱스,752414,9.92,https://comic.naver.com/webtoon/list?titleId=752414
23,mon,꼬리잡기,758666,바쉬,347854,9.94,https://comic.naver.com/webtoon/list?titleId=758666
24,mon,북부 공작님을 유혹하겠습니다,794421,가천가 / 은하수 / 주시하,794421,9.97,https://comic.naver.com/webtoon/list?titleId=794421
25,mon,천재 타자가 강속구를 숨김,807775,황지성 / 스튜디오MW / 이블라인,807775,9.84,https://comic.naver.com/webtoon/list?titleId=807775
26,mon,순정말고 순종,761461,슈안,320094,9.95,https://comic.naver.com/webtoon/list?titleId=761461
27,mon,히어로메이커,21815,빤쓰,66,9.96,https://comic.naver.com/webtoon/list?titleId=21815
28,mon,나 없는 단톡방,805907,봉수,344187,9.95,https://comic.naver.com/webtoon/list?titleId=805907
29,mon,신군,783050,규남,350398,9.94,https://comic.naver.com/webtoon/list?titleId=783050
30,mon,루루라라 우리네 인생,802039,현이씨,359126,9.96,https://comic.naver.com/webtoon/list?titleId=802039
31,mon,이별 후 사내 결혼,785253,미믹 / 이달리.,785253,9.95,https://comic.naver.com/webtoon/list?titleId=785253
32,mon,더블클릭,769663,"박수봉, 김장훈 / 박수봉",769663,9.92,https://comic.naver.com/webtoon/list?titleId=769663
33,mon,"또다시, 계약 부부",774040,김종진 / 설우희,774040,9.88,https://comic.naver.com/webtoon/list?titleId=774040
34,mon,결혼생활 그림일기,741891,은꼼지,331848,9.97,https://comic.naver.com/webtoon/list?titleId=741891
35,mon,"아, 쫌 참으세요 영주님!",774703,새우초밥 / daybook,774703,9.97,https://comic.naver.com/webtoon/list?titleId=774703
36,mon,파운더,791205,임상윤 / 만두인,791205,9.90,https://comic.naver.com/webtoon/list?titleId=791205
37,mon,트러블리걸,808074,일쩜이,364842,9.80,https://comic.naver.com/webtoon/list?titleId=808074
38,mon,수영만화일기,768534,해오,344534,9.91,https://comic.naver.com/webtoon/list?titleId=768534
39,mon,쥴리에타의 드레스 업,808711,말차 / 유자차 / 채하빈,808711,8.56,https://comic.naver.com/webtoon/list?titleId=808711
40,mon,인섹터,801710,마카빔,359013,9.94,https://comic.naver.com/webtoon/list?titleId=801710
41,mon,오빠집이 비어서,780414,이서희 / 태소영,780414,9.87,https://comic.naver.com/webtoon/list?titleId=780414
42,mon,꿈의 기업,687915,문지현,227102,9.97,https://comic.naver.com/webtoon/list?titleId=687915
43,mon,강남의 기사,802865,B급달궁 / 김재환,802865,8.95,https://comic.naver.com/webtoon/list?titleId=802865
44,mon,서브 남주가 파업하면 생기는 일,803518,쓰레빠인간 / 해그늘 / 숙임,803518,9.97,https://comic.naver.com/webtoon/list?titleId=803518
45,mon,다시쓰는 연애사,793274,최경민 / 영모,793274,9.97,https://comic.naver.com/webtoon/list?titleId=793274
46,mon,미니어처 생활백서,791616,엘렌 심,312512,9.98,https://comic.naver.com/webtoon/list?titleId=791616
47,mon,우산 없는 애,796059,로밋,356288,9.96,https://comic.naver.com/webtoon/list?titleId=796059
48,mon,포스트 팬데믹,807159,좡좡 / 영명 / 한산이가,807159,9.87,https://comic.naver.com/webtoon/list?titleId=807159
49,mon,사이다걸,800333,김드루 / 김그루,800333,9.79,https://comic.naver.com/webtoon/list?titleId=800333
50,mon,매지컬 급식:암살법사,791062,웡웡이,354030,9.94,https://comic.naver.com/webtoon/list?titleId=791062
51,mon,사랑의 헌옷수거함,758667,고잉,345768,9.95,https://comic.naver.com/webtoon/list?titleId=758667
52,mon,헬크래프트,800034,나락 / 영기,800034,9.87,https://comic.naver.com/webtoon/list?titleId=800034
53,mon,고백어택,807397,늠개,364094,9.92,https://comic.naver.com/webtoon/list?titleId=807397
54,mon,아슈타르테,798277,SOON / 안다온,798277,9.84,https://comic.naver.com/webtoon/list?titleId=798277
55,mon,하루의 하루,774302,김이랑,172081,9.96,https://comic.naver.com/webtoon/list?titleId=774302
56,mon,랭커,801827,신건 / taibogi,801827,9.87,https://comic.naver.com/webtoon/list?titleId=801827
57,mon,원하나,804469,비진,360379,9.87,https://comic.naver.com/webtoon/list?titleId=804469
58,mon,피폐물의 해피엔딩을 위하여,805437,호,360777,9.91,https://comic.naver.com/webtoon/list?titleId=805437
59,mon,입술이 예쁜 남자,791629,고도 / 플라비,791629,9.95,https://comic.naver.com/webtoon/list?titleId=791629
60,mon,너를 돌려차는 방법,802551,한성만,359383,9.97,https://comic.naver.com/webtoon/list?titleId=802551
61,mon,악취해결사,807600,샘샘,364291,9.93,https://comic.naver.com/webtoon/list?titleId=807600
62,mon,라서드,756140,감람,341529,9.96,https://comic.naver.com/webtoon/list?titleId=756140
63,mon,도깨비 부른다,800618,WEBANGSANG,358481,9.94,https://comic.naver.com/webtoon/list?titleId=800618
64,mon,"집사, 주세요!",802033,꾀돌이,328134,9.91,https://comic.naver.com/webtoon/list?titleId=802033
65,mon,주작연애,802854,우까,359523,9.78,https://comic.naver.com/webtoon/list?titleId=802854
66,mon,파견체,791256,곽백수,19,9.91,https://comic.naver.com/webtoon/list?titleId=791256
67,mon,백호랑,745654,박혬,333368,9.95,https://comic.naver.com/webtoon/list?titleId=745654
68,mon,경비실에서 안내방송 드립니다,792780,수하 / 벌크업,792780,9.35,https://comic.naver.com/webtoon/list?titleId=792780
69,mon,악당과 악당이 만나면,804782,삵 / 쏘가리 / 임하얌,804782,9.94,https://comic.naver.com/webtoon/list?titleId=804782
70,mon,영앤리치가 아니야!,734574,최삡뺩,225651,9.96,https://comic.naver.com/webtoon/list?titleId=734574
71,mon,오늘의 비너스,793944,엄세윤 / 도달,793944,9.97,https://comic.naver.com/webtoon/list?titleId=793944
72,mon,지옥연애환담,794156,"황도톨 / 당첨, 녹혜",794156,9.96,https://comic.naver.com/webtoon/list?titleId=794156
73,mon,역주행!,776256,김현아,322689,9.93,https://comic.naver.com/webtoon/list?titleId=776256
74,mon,메리의 불타는 행복회로,797253,김지수,324555,9.93,https://comic.naver.com/webtoon/list?titleId=797253
75,mon,모스크바의 여명,772243,이샨오 / 황장미,772243,9.95,https://comic.naver.com/webtoon/list?titleId=772243
76,mon,루크 비셸 따라잡기,794939,앙꼬빵 / 학뚜벅 / 에슈티,794939,9.96,https://comic.naver.com/webtoon/list?titleId=794939
77,mon,나만의 고막남친,788170,비로 / 팀 노란 / 이혜율,788170,9.92,https://comic.naver.com/webtoon/list?titleId=788170
78,mon,세번째 로망스,796368,문조,356437,9.96,https://comic.naver.com/webtoon/list?titleId=796368
79,mon,퇴근 후에 만나요,801517,박한나 / 햄친 / 로즈빈,801517,9.93,https://comic.naver.com/webtoon/list?titleId=801517
80,mon,굿바이 유교보이,798293,아실,357333,9.93,https://comic.naver.com/webtoon/list?titleId=798293
